substantiated,mos_age_incident,Officer_Female,Officer_Male,Officer_American Indian,Officer_Asian,Officer_Black,Officer_Hispanic,Officer_White,Captain,Deputy Inspector,Detective,Inspector,Lieutenant,Police Officer,Sergeant,processing_days,Abuse of Authority,Discourtesy,Force,Offensive Language,complainant_age_incident,complainant_Female,complainant_Gender non-conforming,complainant_Male,complainant_Not described,complainant_Transman (FTM),complainant_Transwoman (MTF),complainant_American Indian,complainant_Asian,complainant_Black,complainant_Hispanic,complainant_Other Race,complainant_Refused,complainant_Unknown,complainant_White
0,36,0,1,0,0,1,0,0,0,0,1,0,0,0,0,396,0,0,1,0,23.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,38,0,1,0,0,1,0,0,0,0,1,0,0,0,0,303,0,0,1,0,27.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,40,0,1,0,0,1,0,0,0,0,1,0,0,0,0,366,1,0,0,0,26.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,41,0,1,0,0,1,0,0,0,0,1,0,0,0,0,306,1,0,0,0,29.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,41,0,1,0,0,1,0,0,0,0,1,0,0,0,0,306,1,0,0,0,29.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,32,0,1,0,0,0,0,1,0,0,0,0,0,1,0,152,1,0,0,0,30.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,32,0,1,0,0,0,0,1,0,0,0,0,0,1,0,244,0,0,1,0,34.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,32,0,1,0,0,0,0,1,0,0,0,0,0,1,0,152,1,0,0,0,30.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,24,0,1,0,0,0,0,1,0,0,0,0,0,1,0,181,1,0,0,0,23.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,24,0,1,0,0,0,0,1,0,0,0,0,0,1,0,181,1,0,0,0,29.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,30,0,1,0,0,0,0,1,0,0,0,0,0,1,0,580,0,0,1,0,43.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,30,0,1,0,0,0,0,1,0,0,0,0,0,1,0,580,0,1,0,0,43.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,31,0,1,0,0,0,0,1,0,0,0,0,0,1,0,488,1,0,0,0,19.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,32,0,1,0,0,0,0,1,0,0,0,0,0,1,0,455,1,0,0,0,22.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,32,0,1,0,0,0,0,1,0,0,0,0,0,1,0,455,1,0,0,0,22.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,32,0,1,0,0,0,0,1,0,0,0,0,0,1,0,455,1,0,0,0,25.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
